ElemUID;latitude;longitude
17378005;50.099712;8.6679325
17378006;50.0996;8.66876
17378007;50.099613;8.668796
17378008;50.10022;8.668231
17378009;50.100243;8.668204
17378010;50.10036;8.668415
17378011;50.100376;8.668383
17380004;50.102936;8.664308
17380005;50.10291;8.664306
17380006;50.102882;8.664306
17380007;50.102856;8.664308
17382001;50.103546;8.66341
17382002;50.103523;8.663428
17382003;50.103413;8.663432
17382004;50.103397;8.663466
17382005;50.10338;8.6635
17382006;50.10346;8.6628685
17382007;50.10347;8.662907
17382008;50.10303;8.662677
17382009;50.10305;8.662653
17382010;50.103073;8.662627
17384001;50.097485;8.664417
17385004;50.094067;8.652441
17385005;50.093952;8.652556
17386001;50.09146;8.643155
17386002;50.09117;8.642908
17386003;50.09108;8.642488
17386004;50.09138;8.642712
17386018;50.091217;8.6426935
17386019;50.09138;8.64276
17386020;50.09132;8.642955
17386021;50.09118;8.642861
17387001;50.089687;8.6393
17387002;50.089306;8.638489
17387003;50.089535;8.638646
17388001;50.08895;8.636886
17388002;50.088688;8.636311
17388003;50.088745;8.635787
17388004;50.088863;8.636479
17389001;50.08838;8.632864
17389002;50.088215;8.631891
17389004;50.088417;8.633143
17389005;50.088398;8.633006
17389006;50.088158;8.631482
17389007;50.088177;8.6316185
17390001;50.088043;8.628962
17390002;50.088017;8.628971
17390003;50.087814;8.628449
17390004;50.08773;8.628823
17390005;50.08772;8.628785
17390006;50.08799;8.628979
17390007;50.08776;8.628449
17390008;50.087788;8.628447
17391001;50.08786;8.61649
17391002;50.087887;8.616487
17391003;50.088142;8.617106
17391004;50.08812;8.617127
17391005;50.088146;8.619404
17391006;50.08812;8.619399
17391007;50.087875;8.618771
17391008;50.087902;8.618765
17391009;50.087814;8.619325
17391010;50.08809;8.619483
17392001;50.08452;8.633008
17392002;50.084698;8.633164
17392003;50.084793;8.632856
17392004;50.084656;8.632699
17394001;50.08631;8.638547
17394002;50.086136;8.638326
17394003;50.08626;8.638053
17394004;50.086452;8.638246
17397001;50.086746;8.646371
17397002;50.08684;8.646885
17397003;50.086662;8.646686
17397004;50.086933;8.646556
17398001;50.087067;8.648713
17398002;50.087288;8.648969
17398003;50.087177;8.64923
17398004;50.086964;8.649075
17399001;50.085434;8.65001
17399002;50.085415;8.649975
17399003;50.085648;8.649891
17399004;50.085728;8.649115
17399005;50.08575;8.6490965
17399006;50.086548;8.64996
